PlanName,BeamSetName,TemplateName,TreatmentTechnique,PatientPosition,BeamName,BeamDescription,GantryStart,GantryStop,ArcDirection,CollimatorAngle,CouchAngle)
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,1_Brai_RPO,1 SNS: PRDR,240,NA,NA,15,0
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,2_Brai_RLAT,2 SNS: PRDR,270,NA,NA,350,0
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,3_Brai_RAO,3 SNS: PRDR,300,NA,NA,355,0
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,4_Brai_LAO,4 SNS: PRDR,60,NA,NA,25,0
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,5_Brai_LLAT,5 SNS: PRDR,90,NA,NA,345,0
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,6_Brai_LPO,6 SNS: PRDR,120,NA,NA,5,0
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,7_Brai_g045c315,7 SNS: PRDR,45,NA,NA,5,315
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,8_Brai_g135c315,8 SNS: PRDR,135,NA,NA,5,315
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,9_Brai_g315c045,9 SNS: PRDR,315,NA,NA,15,45
HFS BeamTemplate,SNS_Brai_PRDR,SNS (PRDR): 10Beam Brain,SMLC,HeadFirstSupine,10_Brai_g225c045,10 SNS: PRDR,225,NA,NA,5,45
HFS BeamTemplate,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,300,60,Clockwise,270,0
HFS BeamTemplate,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c072,2 VMA: CCW Arc,10,250,CounterClockwise,355,72
HFS BeamTemplate,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c036,3 VMA: CW Arc,252,12,Clockwise,25,36
HFS BeamTemplate,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c324,4 VMA: CCW Arc,108,348,CounterClockwise,345,324
HFS BeamTemplate,VMAT_Brai_CenAnt,Brai CentralAnterior 5Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c288,5 VMA: CW Arc,350,110,Clockwise,5,288
HFS BeamTemplate,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,240,300,Clockwise,15,0
HFS BeamTemplate,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CW Arc,60,120,Clockwise,350,0
HFS BeamTemplate,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c072,3 VMA: CCW Arc,340,220,CounterClockwise,355,72
HFS BeamTemplate,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c036,4 VMA: CW Arc,222,342,Clockwise,25,36
HFS BeamTemplate,VMAT_Brai_CenMid,Brai CentralMid 6Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c324,5 VMA: CCW Arc,150,30,CounterClockwise,345,324
